;origin_css;destination_css;distance;duration
218;Egirsgade 65;Orientkaj 4;3.9;11 
219;Egirsgade 65;Bygmestervej 59;1.8;5 
220;Egirsgade 65;Borups Plads (overfor Stefansgade 73);1.3;5 
221;Egirsgade 65;Arne Jacobsens Alle 7;10.3;23 
222;Egirsgade 65;Frederik Vs Vej 13  (Rigshospital P huset);1.8;5 
223;Egirsgade 65;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);4.7;12 
224;Egirsgade 65;Borgbjergsvej 43;6.9;20 
225;Egirsgade 65;Vigerslev Venge 60;9.1;23 
226;Egirsgade 65;Dronninglundvej 12;4.4;13 
227;Egirsgade 65;Westend 8;4.8;14 
228;Borups Plads (overfor Stefansgade 73);Albaniensgade 4;6.5;16 
229;Borups Plads (overfor Stefansgade 73);Bispebjerg Bakke 22;3.0;9 
230;Borups Plads (overfor Stefansgade 73);Nesbyholmvej 1;3.1;7 
231;Borups Plads (overfor Stefansgade 73);Halvtolv 19;6.5;17 
232;Borups Plads (overfor Stefansgade 73);Solvgade 11;4.4;11 
233;Borups Plads (overfor Stefansgade 73);Amalievej 1;1.7;5 
234;Borups Plads (overfor Stefansgade 73);Esthersvej 34;6.8;15 
235;Borups Plads (overfor Stefansgade 73);Husumvej (overfor 131);5.3;10 
236;Borups Plads (overfor Stefansgade 73);Drechselsgade 13;5.8;14 
237;Borups Plads (overfor Stefansgade 73);Orientkaj 4;5.1;15 
238;Borups Plads (overfor Stefansgade 73);Bygmestervej 59;1.7;6 
239;Borups Plads (overfor Stefansgade 73);Egirsgade 65;1.4;6 
240;Borups Plads (overfor Stefansgade 73);Arne Jacobsens Alle 7;9.1;19 
241;Borups Plads (overfor Stefansgade 73);Frederik Vs Vej 13  (Rigshospital P huset);3.0;10 
242;Borups Plads (overfor Stefansgade 73);Soborg Hovedgade 88 /Carl Blochs Alle (p plads);7.0;11 
243;Borups Plads (overfor Stefansgade 73);Borgbjergsvej 43;5.4;15 
244;Borups Plads (overfor Stefansgade 73);Vigerslev Venge 60;6.5;18 
245;Borups Plads (overfor Stefansgade 73);Dronninglundvej 12;3.9;10 
246;Borups Plads (overfor Stefansgade 73);Westend 8;3.4;10 
247;Arne Jacobsens Alle 7;Albaniensgade 4;5.6;14 
248;Arne Jacobsens Alle 7;Bispebjerg Bakke 22;12.1;27 
249;Arne Jacobsens Alle 7;Nesbyholmvej 1;22.5;20 
250;Arne Jacobsens Alle 7;Halvtolv 19;6.7;17 
251;Arne Jacobsens Alle 7;Solvgade 11;9.7;20 
252;Arne Jacobsens Alle 7;Amalievej 1;7.6;17 
253;Arne Jacobsens Alle 7;Esthersvej 34;33.5;26 
254;Arne Jacobsens Alle 7;Husumvej (overfor 131);22.3;20 
255;Arne Jacobsens Alle 7;Drechselsgade 13;4.2;9 
256;Arne Jacobsens Alle 7;Orientkaj 4;13.0;26 
257;Arne Jacobsens Alle 7;Bygmestervej 59;10.8;24 
258;Arne Jacobsens Alle 7;Egirsgade 65;10.5;23 
259;Arne Jacobsens Alle 7;Borups Plads (overfor Stefansgade 73);9.1;19 
260;Arne Jacobsens Alle 7;Frederik Vs Vej 13  (Rigshospital P huset);9.8;22 
261;Arne Jacobsens Alle 7;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);27.5;26 
262;Arne Jacobsens Alle 7;Borgbjergsvej 43;4.7;9 
263;Arne Jacobsens Alle 7;Vigerslev Venge 60;8.7;18 
264;Arne Jacobsens Alle 7;Dronninglundvej 12;21.6;19 
265;Arne Jacobsens Alle 7;Westend 8;7.1;16 
266;Frederik Vs Vej 13  (Rigshospital P huset);Albaniensgade 4;7.0;18 
267;Frederik Vs Vej 13  (Rigshospital P huset);Bispebjerg Bakke 22;3.6;10 
268;Frederik Vs Vej 13  (Rigshospital P huset);Nesbyholmvej 1;6.8;15 
269;Frederik Vs Vej 13  (Rigshospital P huset);Halvtolv 19;5.6;17 
270;Frederik Vs Vej 13  (Rigshospital P huset);Solvgade 11;2.4;6 
271;Frederik Vs Vej 13  (Rigshospital P huset);Amalievej 1;4.0;11 
272;Frederik Vs Vej 13  (Rigshospital P huset);Esthersvej 34;4.3;9 
273;Frederik Vs Vej 13  (Rigshospital P huset);Husumvej (overfor 131);7.5;18 
274;Frederik Vs Vej 13  (Rigshospital P huset);Drechselsgade 13;6.3;16 
275;Frederik Vs Vej 13  (Rigshospital P huset);Orientkaj 4;3.4;9 
276;Frederik Vs Vej 13  (Rigshospital P huset);Bygmestervej 59;3.3;9 
277;Frederik Vs Vej 13  (Rigshospital P huset);Egirsgade 65;1.8;5 
278;Frederik Vs Vej 13  (Rigshospital P huset);Borups Plads (overfor Stefansgade 73);3.0;9 
279;Frederik Vs Vej 13  (Rigshospital P huset);Arne Jacobsens Alle 7;9.6;21 
280;Frederik Vs Vej 13  (Rigshospital P huset);Soborg Hovedgade 88 /Carl Blochs Alle (p plads);6.3;13 
281;Frederik Vs Vej 13  (Rigshospital P huset);Borgbjergsvej 43;7.7;19 
282;Frederik Vs Vej 13  (Rigshospital P huset);Vigerslev Venge 60;9.2;24 
283;Frederik Vs Vej 13  (Rigshospital P huset);Dronninglundvej 12;6.1;17 
284;Frederik Vs Vej 13  (Rigshospital P huset);Westend 8;4.1;12 
285;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Albaniensgade 4;13.4;25 
286;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Bispebjerg Bakke 22;4.8;12 
287;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Nesbyholmvej 1;5.3;11 
288;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Halvtolv 19;13.4;26 
289;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Solvgade 11;9.2;17 
290;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Amalievej 1;8.6;14 
291;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Esthersvej 34;4.2;11 
292;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Husumvej (overfor 131);5.0;10 
293;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Drechselsgade 13;12.7;24 
294;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Orientkaj 4;8.1;14 
295;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Bygmestervej 59;4.9;12 
296;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Egirsgade 65;5.6;14 
297;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Borups Plads (overfor Stefansgade 73);7.6;13 
298;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Arne Jacobsens Alle 7;30.1;26 
299;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Frederik Vs Vej 13  (Rigshospital P huset);7.3;13 
300;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Borgbjergsvej 43;12.3;25 
301;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Vigerslev Venge 60;12.4;24 
302;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Dronninglundvej 12;6.9;15 
303;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Westend 8;10.3;20 
304;Borgbjergsvej 43;Albaniensgade 4;7.8;18 
305;Borgbjergsvej 43;Bispebjerg Bakke 22;9.1;25 
306;Borgbjergsvej 43;Nesbyholmvej 1;9.2;20 
307;Borgbjergsvej 43;Halvtolv 19;7.7;18 
308;Borgbjergsvej 43;Solvgade 11;6.8;17 
309;Borgbjergsvej 43;Amalievej 1;4.5;12 
310;Borgbjergsvej 43;Esthersvej 34;13.0;28 
311;Borgbjergsvej 43;Husumvej (overfor 131);9.2;20 
312;Borgbjergsvej 43;Drechselsgade 13;5.3;12 
313;Borgbjergsvej 43;Orientkaj 4;10.1;22 
314;Borgbjergsvej 43;Bygmestervej 59;7.8;21 
315;Borgbjergsvej 43;Egirsgade 65;7.7;22 
316;Borgbjergsvej 43;Borups Plads (overfor Stefansgade 73);6.2;17 
317;Borgbjergsvej 43;Arne Jacobsens Alle 7;6.4;10 
318;Borgbjergsvej 43;Frederik Vs Vej 13  (Rigshospital P huset);8.7;21 
319;Borgbjergsvej 43;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);12.9;26 
320;Borgbjergsvej 43;Vigerslev Venge 60;4.1;10 
321;Borgbjergsvej 43;Dronninglundvej 12;7.6;17 
322;Borgbjergsvej 43;Westend 8;4.0;12 
323;Vigerslev Venge 60;Albaniensgade 4;9.6;24 
324;Vigerslev Venge 60;Bispebjerg Bakke 22;9.3;22 
325;Vigerslev Venge 60;Nesbyholmvej 1;6.3;15 
326;Vigerslev Venge 60;Halvtolv 19;9.2;25 
327;Vigerslev Venge 60;Solvgade 11;9.9;23 
328;Vigerslev Venge 60;Amalievej 1;5.5;14 
329;Vigerslev Venge 60;Esthersvej 34;11.4;26 
330;Vigerslev Venge 60;Husumvej (overfor 131);6.3;15 
331;Vigerslev Venge 60;Drechselsgade 13;9.0;20 
332;Vigerslev Venge 60;Orientkaj 4;14.6;29 
333;Vigerslev Venge 60;Bygmestervej 59;8.2;20 
334;Vigerslev Venge 60;Egirsgade 65;8.6;22 
335;Vigerslev Venge 60;Borups Plads (overfor Stefansgade 73);8.4;19 
336;Vigerslev Venge 60;Arne Jacobsens Alle 7;10.2;18 
337;Vigerslev Venge 60;Frederik Vs Vej 13  (Rigshospital P huset);8.8;25 
338;Vigerslev Venge 60;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);11.6;23 
339;Vigerslev Venge 60;Borgbjergsvej 43;4.5;11 
340;Vigerslev Venge 60;Dronninglundvej 12;4.7;12 
341;Vigerslev Venge 60;Westend 8;5.4;15 
342;Dronninglundvej 12;Albaniensgade 4;10.5;22 
343;Dronninglundvej 12;Bispebjerg Bakke 22;5.7;13 
344;Dronninglundvej 12;Nesbyholmvej 1;1.7;4 
345;Dronninglundvej 12;Halvtolv 19;10.5;23 
346;Dronninglundvej 12;Solvgade 11;8.4;17 
347;Dronninglundvej 12;Amalievej 1;5.7;11 
348;Dronninglundvej 12;Esthersvej 34;7.8;17 
349;Dronninglundvej 12;Husumvej (overfor 131);2.3;5 
350;Dronninglundvej 12;Drechselsgade 13;9.8;21 
351;Dronninglundvej 12;Orientkaj 4;11.0;20 
352;Dronninglundvej 12;Bygmestervej 59;4.6;11 
353;Dronninglundvej 12;Egirsgade 65;4.9;13 
354;Dronninglundvej 12;Borups Plads (overfor Stefansgade 73);4.7;10 
355;Dronninglundvej 12;Arne Jacobsens Alle 7;22.6;21 
356;Dronninglundvej 12;Frederik Vs Vej 13  (Rigshospital P huset);7.3;16 
357;Dronninglundvej 12;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);6.4;14 
358;Dronninglundvej 12;Borgbjergsvej 43;8.0;17 
359;Dronninglundvej 12;Vigerslev Venge 60;5.3;13 
360;Dronninglundvej 12;Westend 8;5.9;16 
361;Westend 8;Albaniensgade 4;4.9;14 
362;Westend 8;Bispebjerg Bakke 22;6.1;18 
363;Westend 8;Nesbyholmvej 1;5.3;15 
364;Westend 8;Halvtolv 19;4.9;15 
365;Westend 8;Solvgade 11;3.6;11 
366;Westend 8;Amalievej 1;1.5;5 
367;Westend 8;Esthersvej 34;8.4;21 
368;Westend 8;Husumvej (overfor 131);7.8;18 
369;Westend 8;Drechselsgade 13;4.2;12 
370;Westend 8;Orientkaj 4;6.5;17 
371;Westend 8;Bygmestervej 59;4.8;14 
372;Westend 8;Egirsgade 65;5.0;15 
373;Westend 8;Borups Plads (overfor Stefansgade 73);3.2;10 
374;Westend 8;Arne Jacobsens Alle 7;7.5;18 
375;Westend 8;Frederik Vs Vej 13  (Rigshospital P huset);4.3;13 
376;Westend 8;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);9.9;19 
377;Westend 8;Borgbjergsvej 43;3.1;10 
378;Westend 8;Vigerslev Venge 60;5.3;14 
379;Westend 8;Dronninglundvej 12;6.2;15 
